DATE,IPB50001N
2019-05-01,101.1236
2019-06-01,103.8463
2019-07-01,101.7385
2019-08-01,104.8090
2019-09-01,102.9613
2019-10-01,101.4274
2019-11-01,101.5606
2019-12-01,101.5034
2020-01-01,100.8470
2020-02-01,101.4389
2020-03-01,97.4776
2020-04-01,82.0979
2020-05-01,84.7408
2020-06-01,92.5626
2020-07-01,94.7961
2020-08-01,98.1781
2020-09-01,95.6999
2020-10-01,96.7220
2020-11-01,96.7016
2020-12-01,98.2992
2021-01-01,99.6009
2021-02-01,96.8263
2021-03-01,99.3785
2021-04-01,97.7610
2021-05-01,98.7919
2021-06-01,101.8385
2021-07-01,101.0821
2021-08-01,103.1778
2021-09-01,99.9065
2021-10-01,101.2163
2021-11-01,101.8792
2021-12-01,101.9157
2022-01-01,104.3535
